StarrPromSet	GtexTissue	TotalStarrProm	Total_eQTLs	TotalOvlps	Total_eQTL_inOvlp	TotalPromInOvlp	SameGeneMapped	NotSameGene
K562	Liver	632	136495	180	145	42	41	139
CONTROL	Liver	12742	136495	4923	3252	961	1454	3469
HELA	Lung	493	823503	1358	805	229	347	1011
K562	Lung	632	823503	1155	709	217	219	936
CONTROL	Lung	12742	823503	31181	16355	4216	7028	24153
HELA	Muscle_Skeletal	493	876711	1609	946	246	339	1270
K562	Muscle_Skeletal	632	876711	1210	776	227	296	914
CONTROL	Muscle_Skeletal	12742	876711	33852	17308	4443	7549	26303
HELA	Nerve_Tibial	493	1133462	1869	1061	280	430	1439
K562	Nerve_Tibial	632	1133462	1608	971	265	302	1306
CONTROL	Nerve_Tibial	12742	1133462	41794	20971	5364	9498	32296
HELA	Ovary	493	131593	183	150	48	71	112
K562	Ovary	632	131593	110	101	40	34	76
CONTROL	Ovary	12742	131593	4452	2766	896	1064	3388
HELA	Pancreas	493	384348	600	436	134	148	452
K562	Pancreas	632	384348	596	411	126	178	418
CONTROL	Pancreas	12742	384348	14542	8983	2687	3905	10637
HELA	Pituitary	493	184187	252	205	70	57	195
K562	Pituitary	632	184187	168	145	59	37	131
CONTROL	Pituitary	12742	184187	6533	4130	1248	1652	4881
HELA	Prostate	493	131800	164	130	48	44	120
K562	Prostate	632	131800	114	85	36	24	90
CONTROL	Prostate	12742	131800	4660	2909	858	1051	3609
HELA	Skin_Not_Sun_Exposed_Suprapubic	493	550416	791	573	173	197	594
K562	Skin_Not_Sun_Exposed_Suprapubic	632	550416	756	495	139	128	628
CONTROL	Skin_Not_Sun_Exposed_Suprapubic	12742	550416	21925	11904	3343	5362	16563
HELA	Skin_Sun_Exposed_Lower_leg	493	1019366	1673	989	245	365	1308
K562	Skin_Sun_Exposed_Lower_leg	632	1019366	1417	824	220	248	1169
CONTROL	Skin_Sun_Exposed_Lower_leg	12742	1019366	40405	20120	5078	9190	31215
HELA	Small_Intestine_Terminal_Ileum	493	107153	132	99	38	47	85
K562	Small_Intestine_Terminal_Ileum	632	107153	135	107	38	43	92
CONTROL	Small_Intestine_Terminal_Ileum	12742	107153	3902	2481	773	954	2948
HELA	Spleen	493	209696	287	213	88	74	213
K562	Spleen	632	209696	224	183	65	57	167
CONTROL	Spleen	12742	209696	7866	4864	1533	2022	5844
HELA	Stomach	493	340703	560	390	126	148	412
K562	Stomach	632	340703	448	341	102	92	356
CONTROL	Stomach	12742	340703	13048	7739	2258	3061	9987
HELA	Testis	493	870733	1288	834	241	297	991
K562	Testis	632	870733	1315	832	231	277	1038
CONTROL	Testis	12742	870733	29622	16137	4516	6797	22825
HELA	Thyroid	493	1216881	2012	1065	266	390	1622
K562	Thyroid	632	1216881	1753	1011	274	343	1410
CONTROL	Thyroid	12742	1216881	44699	21356	5335	9428	35271
HELA	Uterus	493	78821	90	70	31	30	60
K562	Uterus	632	78821	82	66	28	19	63
CONTROL	Uterus	12742	78821	2512	1603	503	621	1891
HELA	Vagina	493	84756	106	78	27	38	68
K562	Vagina	632	84756	78	66	26	20	58
CONTROL	Vagina	12742	84756	2634	1756	527	647	1987
HELA	Whole_Blood	493	806847	1717	998	234	495	1222
K562	Whole_Blood	632	806847	1323	799	222	265	1058
CONTROL	Whole_Blood	12742	806847	32418	16545	4217	7386	25032
